,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
209,Alex Len,lenal01,C,16.4,64,15.3,0.32,6.6,3731707.0
210,Kawhi Leonard,leonaka01,SF,26.0,52,34.1,0.398,24.8,39344900.0
211,Caris LeVert,leverca01,SG,17.8,47,31.6,0.326,20.2,17500000.0
212,Kira Lewis Jr.,lewiski01,PG,10.3,54,16.7,0.333,6.4,3822240.0
213,Damian Lillard,lillada01,PG,25.6,67,35.8,0.391,28.8,43750000.0
214,Nassir Little,littlna01,PF,11.6,48,13.3,0.35,4.6,2316240.0
215,Kevon Looney,looneke01,C,11.9,61,19.0,0.235,4.1,5178572.0
216,Brook Lopez,lopezbr01,C,15.4,70,27.2,0.338,12.3,13302325.0
217,Robin Lopez,lopezro01,C,16.7,71,19.1,0.278,9.0,5000000.0
218,Didi Louzada,louzama01,SF,-0.9,3,18.7,0.25,2.7,1786878.0
219,Kevin Love,loveke01,PF,15.1,25,24.9,0.365,12.2,31300000.0
220,Kyle Lowry,lowryky01,PG,16.5,46,34.8,0.396,17.2,26984128.0
221,Timothé Luwawu-Cabarrot,luwawti01,SF,7.8,58,18.1,0.314,6.4,1939350.0
222,Trey Lyles,lylestr01,PF,11.4,23,15.6,0.35,5.0,2500000.0
223,Théo Maledon,maledth01,PG,8.2,65,27.4,0.335,10.1,2000000.0
224,Terance Mann,mannte01,SG,13.8,67,18.9,0.418,7.0,1782621.0
225,Boban Marjanović,marjabo01,C,22.6,33,8.2,0.125,4.7,3500000.0
226,Lauri Markkanen,markkla01,PF,15.2,51,25.8,0.402,13.6,15690909.0
227,Naji Marshall,marshna01,SF,11.4,32,21.9,0.349,7.7,1517981.0
228,Cody Martin,martico01,SF,10.6,52,16.3,0.276,4.0,1782621.0
229,Kelan Martin,martike03,SF,13.9,35,9.2,0.4,4.5,1701593.0
230,Kenyon Martin Jr.,martike04,SF,14.6,45,23.7,0.365,9.3,1517981.0
231,Tyrese Maxey,maxeyty01,SG,14.5,61,15.3,0.301,8.0,2602920.0
232,CJ McCollum,mccolcj01,SG,20.8,47,34.0,0.402,23.1,30864198.0
233,T.J. McConnell,mccontj01,PG,16.9,69,26.0,0.313,8.6,7500000.0
234,Jaden McDaniels,mcdanja02,PF,8.9,63,24.0,0.364,6.8,2063280.0
235,Jalen McDaniels,mcdanja01,SF,11.4,47,19.2,0.333,7.4,1782621.0
236,Doug McDermott,mcderdo01,PF,15.6,66,24.5,0.388,13.6,13750000.0
237,JaVale McGee,mcgeeja01,C,17.0,46,14.7,0.208,7.3,5000000.0
238,Rodney McGruder,mcgruro01,SG,16.1,16,12.1,0.458,5.7,1939350.0
239,Jordan McLaughlin,mclaujo01,PG,12.0,51,18.4,0.359,5.0,1669178.0
240,Ben McLemore,mclembe01,SG,8.5,53,17.1,0.346,7.7,2389641.0
241,De'Anthony Melton,meltode01,PG,15.2,52,20.1,0.412,9.1,8437500.0
242,Sam Merrill,merrisa01,SG,11.9,30,7.8,0.447,3.0,1517981.0
243,Chimezie Metu,metuch01,C,14.5,36,13.6,0.351,6.3,1762796.0
244,Khris Middleton,middlkh01,SF,18.2,68,33.4,0.414,20.4,35500000.0
245,Patty Mills,millspa02,PG,11.8,68,24.8,0.375,10.8,5890000.0
246,Paul Millsap,millspa01,PF,16.4,56,20.8,0.343,9.0,2641691.0
247,Shake Milton,miltosh01,SG,14.6,63,23.2,0.35,13.0,1846738.0
248,Donovan Mitchell,mitchdo01,PG,21.3,53,33.4,0.386,26.4,28103550.0
249,Malik Monk,monkma01,SG,13.6,42,20.9,0.401,11.7,1789256.0
250,E'Twaun Moore,mooreet01,SG,10.4,27,14.4,0.314,4.9,2641691.0
251,Ja Morant,moranja01,PG,16.7,63,32.6,0.303,19.1,9603360.0
252,Marcus Morris,morrima03,PF,14.5,57,26.4,0.473,13.4,15627907.0
253,Markieff Morris,morrima02,PF,9.3,61,19.7,0.311,6.7,2641691.0
254,Monte Morris,morrimo01,PG,14.0,47,25.4,0.381,10.2,8333333.0
255,Dejounte Murray,murrade01,PG,16.5,67,31.9,0.317,15.7,15428571.0
256,Jamal Murray,murraja01,PG,18.3,48,35.5,0.408,21.2,31590000.0
257,Mike Muscala,muscami01,C,14.7,35,18.4,0.37,9.7,3500000.0
258,Svi Mykhailiuk,mykhasv01,SF-SG,10.4,66,20.1,0.334,8.5,1729217.0
259,Abdel Nader,naderab01,SF,13.4,24,14.8,0.419,6.7,2000000.0
260,Larry Nance Jr.,nancela02,PF,13.2,35,31.2,0.36,9.3,10690909.0
261,Aaron Nesmith,nesmiaa01,SF,9.4,46,14.5,0.37,4.7,3631200.0
262,Raul Neto,netora01,PG,13.0,64,21.9,0.39,8.7,2089448.0
263,Georges Niang,niangge01,PF,11.4,72,16.0,0.425,6.9,3300000.0
264,Zeke Nnaji,nnajize01,PF,11.3,42,9.5,0.407,3.2,2498760.0
265,Nerlens Noel,noelne01,C,14.8,64,24.2,0.0,5.1,8800000.0
266,Jaylen Nowell,nowelja01,SG,12.3,42,18.1,0.333,9.0,1782621.0
267,Frank Ntilikina,ntilila01,PG,7.7,33,9.8,0.479,2.7,1789256.0
268,Kendrick Nunn,nunnke01,PG,14.2,56,29.5,0.381,14.6,5000000.0
269,Jusuf Nurkić,nurkiju01,C,20.5,37,23.8,0.4,11.5,12000000.0
270,David Nwaba,nwabada01,SF,14.4,30,22.6,0.27,9.2,4650000.0
271,Jordan Nwora,nworajo01,SF,16.1,30,9.1,0.452,5.7,1517981.0
272,Royce O'Neale,onealro01,SF,9.9,71,31.6,0.385,7.0,8678571.0
273,Semi Ojeleye,ojelese01,PF,8.3,56,17.0,0.367,4.6,1789256.0
274,Chuma Okeke,okekech01,PF,11.8,45,25.2,0.348,7.8,3277080.0
275,Josh Okogie,okogijo01,SG,9.1,59,20.3,0.269,5.4,4087904.0
276,Onyeka Okongwu,okongon01,C,16.8,50,12.0,0.0,4.6,6104280.0
277,Isaac Okoro,okorois01,SG,7.9,67,32.4,0.29,9.6,6720720.0
278,KZ Okpala,okpalkz01,PF,5.2,37,12.1,0.24,2.5,1782621.0
279,Victor Oladipo,oladivi01,SG,14.3,33,32.7,0.326,19.8,2389641.0
280,Kelly Olynyk,olynyke01,C-PF,16.4,70,28.5,0.342,13.5,12195122.0
281,Miye Oni,onimi01,SG,6.4,54,9.6,0.341,1.9,1782621.0
282,Cedi Osman,osmande01,SF,10.3,59,25.6,0.306,10.4,8050000.0
283,Kelly Oubre Jr.,oubreke01,SF,13.3,55,30.7,0.316,15.4,12000000.0
284,Jabari Parker,parkeja01,PF,14.7,13,12.7,0.182,5.5,2239544.0
